address,name,category,status,file,notes
0x8001cd78,DAT_8001cd78,game,TODO,,
0x8001cd9c,DAT_8001cd9c,game,TODO,,
0x8001cdc0,DAT_8001cdc0,game,TODO,,
0x8001cde4,DAT_8001cde4,game,TODO,,
0x8001ce08,DAT_8001ce08,game,TODO,,
0x8001ce2c,DAT_8001ce2c,game,TODO,,
0x8001ce50,DAT_8001ce50,game,TODO,,
0x8001ce74,DAT_8001ce74,game,TODO,,
0x8001cebc,DAT_8001cebc,game,TODO,,
0x8001cee0,DAT_8001cee0,game,TODO,,
0x8001cf04,DAT_8001cf04,game,TODO,,
0x8001cf28,DAT_8001cf28,game,TODO,,
0x8001cf4c,DAT_8001cf4c,game,TODO,,
0x8001cf70,DAT_8001cf70,game,TODO,,
0x8001cf94,DAT_8001cf94,game,TODO,,
0x8001cfb8,DAT_8001cfb8,game,TODO,,
0x8001cfdc,DAT_8001cfdc,game,TODO,,
0x8001d000,DAT_8001d000,game,TODO,,
0x8001d024,DAT_8001d024,game,TODO,,
0x8001d048,DAT_8001d048,game,TODO,,
0x8001d06c,DAT_8001d06c,game,TODO,,
0x8001d090,DAT_8001d090,game,TODO,,
0x8001d0b4,DAT_8001d0b4,game,TODO,,
0x8001d0d8,DAT_8001d0d8,game,TODO,,
0x8001d0fc,DAT_8001d0fc,game,TODO,,
0x8001d120,DAT_8001d120,game,TODO,,
0x8001d144,DAT_8001d144,game,TODO,,
0x8001d168,DAT_8001d168,game,TODO,,
0x8001d18c,DAT_8001d18c,game,TODO,,
0x8001d1b0,DAT_8001d1b0,game,TODO,,
0x8001d1d4,DAT_8001d1d4,game,TODO,,
0x8001d1f8,DAT_8001d1f8,game,TODO,,
0x8001d21c,DAT_8001d21c,game,TODO,,
0x8001d240,DAT_8001d240,game,TODO,,
0x8001d264,DAT_8001d264,game,TODO,,
0x8001d288,DAT_8001d288,game,TODO,,
0x8001d2ac,DAT_8001d2ac,game,TODO,,
0x8001d2d0,DAT_8001d2d0,game,TODO,,
0x8001d2f4,DAT_8001d2f4,game,TODO,,
0x8001d318,DAT_8001d318,game,TODO,,
0x8001d33c,DAT_8001d33c,game,TODO,,
0x8001d360,DAT_8001d360,game,TODO,,
0x8001d384,DAT_8001d384,game,TODO,,
0x8001d3a8,DAT_8001d3a8,game,TODO,,
0x8001d3cc,DAT_8001d3cc,game,TODO,,
0x8001d3f0,DAT_8001d3f0,game,TODO,,
0x8001d414,DAT_8001d414,game,TODO,,
0x8001d438,DAT_8001d438,game,TODO,,
0x8001d45c,DAT_8001d45c,game,TODO,,
0x8001d480,DAT_8001d480,game,TODO,,
0x8001d4a4,DAT_8001d4a4,game,TODO,,
0x8001d4c8,DAT_8001d4c8,game,TODO,,
0x8001d4ec,DAT_8001d4ec,game,TODO,,
0x8001d510,DAT_8001d510,game,TODO,,
0x8001d534,DAT_8001d534,game,TODO,,
0x8001d558,DAT_8001d558,game,TODO,,
0x8001d57c,DAT_8001d57c,game,TODO,,
0x8001d5a0,DAT_8001d5a0,game,TODO,,
0x8001d5c4,DAT_8001d5c4,game,TODO,,
0x8001d5e4,DAT_8001d5e4,game,TODO,,
0x8001d604,DAT_8001d604,game,TODO,,
0x8001d624,DAT_8001d624,game,TODO,,
0x8001d644,DAT_8001d644,game,TODO,,
0x8001d664,DAT_8001d664,game,TODO,,
0x8001d684,DAT_8001d684,game,TODO,,
0x8001d6a4,DAT_8001d6a4,game,TODO,,
0x8001d6c4,DAT_8001d6c4,game,TODO,,
0x8001d6e4,DAT_8001d6e4,game,TODO,,
0x8001d704,DAT_8001d704,game,TODO,,
0x8001d724,DAT_8001d724,game,TODO,,
0x8001d744,DAT_8001d744,game,TODO,,
0x8001d764,DAT_8001d764,game,TODO,,
0x8001d784,DAT_8001d784,game,TODO,,
0x8001d7a4,DAT_8001d7a4,game,TODO,,
0x8001d7c4,DAT_8001d7c4,game,TODO,,
0x8001d7e4,DAT_8001d7e4,game,TODO,,
0x8001d804,DAT_8001d804,game,TODO,,
0x8001d824,DAT_8001d824,game,TODO,,
0x8001d844,DAT_8001d844,game,TODO,,
0x8001d864,DAT_8001d864,game,TODO,,
0x8001d884,DAT_8001d884,game,TODO,,
0x8001d8a4,DAT_8001d8a4,game,TODO,,
0x8001d8c4,DAT_8001d8c4,game,TODO,,
0x8001d8e4,DAT_8001d8e4,game,TODO,,
0x8001d904,DAT_8001d904,game,TODO,,
0x8001d924,DAT_8001d924,game,TODO,,
0x8001d944,DAT_8001d944,game,TODO,,
0x8001d964,DAT_8001d964,game,TODO,,
